ADS  TAPE SUMMARY
NCAR Electra - Project #9-803
        Mesoscale Alpine Project            
  Kuettner et al



  Date    Flight    Start     Stop      Tape Num    Comments
====================================================================

09/15/99	 RF01	135421	174927	 R1390	  Wet MAP     

09/19/99	 RF02	105200	135100	 R1391	  Dry MAP

09/20/99	 RF03	045352	102526	 R1392	  Wet MAP

09/20/99	 RF04	115048	155918	 R1393	  Gravity Waves

09/25/99	 RF05	152601	184037	 R1394	  Wet MAP

09/29/99	 RF06	105046	135432	 R1395	  P-3 Intercompare

09/30/99	 RF07	115136	170606	 R1396	  Wet MAP

10/01/99	 RF08	080035	142647	 R1397	  PV Banners     
  
10/02/99	 RF09 	095634	134014	 R1398	  Gap Flow

10/04/99	 RF10	063254	115416	 R1399	  Wet MAP

10/13/99	 RF11	131127	173929	 R1400	  Wet MAP

10/18/99	 RF12	123913	182913	 R1401	  Wet MAP

10/20/99	 RF13	110416	141112	 R1402	  GAP Flow

10/21/99	 RF14	055230	120400	 R1403	  Dry MAP

10/23/99	 RF15	064320	134730	 R1404	  Wet MAP

10/24/99	 RF16	124748	154730	 R1405	  Gap Flow

10/30/99	 RF17	075843	111819	 R1406	  Gap Flow       
  
10/30/99	 RF18 	132503	182731	 R1407	  Wet MAP 

11/01/99	 RF19	125041	160117	 R1408	  Foehn  

11/02/99	 RF20	072157	120545	 R1409	  Gravity Waves

11/03/99	 RF21	120835	161611	 R1410	  Wet MAP

11/04/99	 RF22	115052	174240	 R1411	  Wet MAP 


  Date    Flight    Start     Stop      Tape Num    Comments
====================================================================

11/06/99	 RF23	072556	102624	 R1412	  Gravity Wave

11/06/99	 RF24	140726	185442	 R1413	  PV Banner

11/07/99	 RF25	125247	181133	 R1414	  BORA Flow

11/08/99	 RF26	100249	144349	 R1415  	  Gravity Waves

11/11/99	 RF27	095652	153610	 R1416  	  Wet MAP     

11/12/99	 RF28	114525	160025	 R1417 	  Gap Flow 

11/13/99	 RF29	112229	154625	 R1418	  Gravity Waves






