Time_Secs	Lat	Long	Alt
50672	47.90042222	122.2801556	581
50683	47.90043056	122.2801528	579
50693	47.90043889	122.2801472	592
50704	47.90044167	122.2801556	606
50714	47.90044444	122.2801444	605
50725	47.90044444	122.2801528	604
50735	47.90044722	122.2801556	603
50746	47.90045556	122.2801472	611
50757	47.90045556	122.2801472	605
50767	47.90046111	122.2801333	605
50778	47.90045833	122.2801444	594
50788	47.90046111	122.2801528	588
50799	47.90044444	122.2801556	585
50809	47.90044444	122.2801556	591
50820	47.90043889	122.2801528	590
50830	47.90044167	122.2801528	591
50841	47.90043611	122.2801528	587
50851	47.90042778	122.2801611	588
50862	47.90043056	122.2801611	586
50872	47.90042778	122.2801639	584
50883	47.90044444	122.2801556	590
50893	47.90044722	122.2801528	590
50904	47.90044722	122.2801556	598
50914	47.90045278	122.2801639	607
50925	47.90044444	122.2801667	604
50935	47.90044722	122.2801694	604
50946	47.90045	122.2801639	605
50956	47.90045278	122.2801611	605
50967	47.90045556	122.2801556	608
50977	47.90044722	122.2801556	603
50988	47.90045556	122.2801556	602
50998	47.90045278	122.2801528	599
51009	47.90045833	122.28015	597
51019	47.90046389	122.2801389	609
51030	47.90045833	122.2801417	604
51040	47.90046111	122.2801444	602
51051	47.90045556	122.2801444	600
51062	47.90046111	122.2801389	601
51072	47.90046389	122.2801389	602
51083	47.90046389	122.2801417	596
51093	47.90046389	122.2801417	590
51104	47.90045556	122.2801528	588
51114	47.90045833	122.2801556	584
51125	47.90045278	122.2801528	581
51135	47.90045556	122.2801472	590
51146	47.90045278	122.2801472	589
51156	47.90045556	122.2801444	590
51167	47.90045278	122.28015	588
51177	47.90044722	122.28015	589
51188	47.90045278	122.2801472	590
51198	47.90043889	122.2801472	586
51209	47.90044722	122.2801444	590
51219	47.90044722	122.2801472	597
51230	47.90045278	122.2801444	602
51240	47.90045	122.2801444	604
51251	47.90045278	122.28015	602
51261	47.90045556	122.2801528	600
51272	47.90045833	122.2801528	604
51282	47.90046111	122.2801556	602
51293	47.90045556	122.2801528	598
51303	47.90046111	122.2801472	602
51314	47.90045556	122.2801528	601
51324	47.90044722	122.2801556	594
51335	47.90045556	122.2801528	592
51345	47.90045556	122.28015	591
51356	47.90046389	122.2801556	595
51366	47.90045278	122.2801556	592
51377	47.90045556	122.2801611	595
51388	47.90045556	122.2801639	597
51398	47.90046111	122.2801611	600
51408	47.90046111	122.2801583	603
51419	47.90046111	122.2801528	608
51430	47.90046111	122.2801417	610
51440	47.90045	122.2801444	609
51451	47.90045556	122.2801389	610
51461	47.90045	122.2801389	606
51472	47.90045278	122.2801444	604
51482	47.90044167	122.2801528	599
51493	47.90045278	122.2801444	605
51503	47.90045278	122.2801444	604
51514	47.90045556	122.2801444	604
51524	47.90046111	122.2801583	609
51535	47.90045278	122.2801639	609
51545	47.90044722	122.2801667	603
51556	47.90045278	122.2801639	609
51566	47.90046111	122.2801611	610
51577	47.90045278	122.2801611	604
51587	47.90045556	122.2801639	603
51598	47.90045	122.2801722	598
51608	47.90046111	122.2801639	604
51619	47.90045	122.2801722	600
51629	47.90045556	122.2801556	597
51640	47.90044444	122.2801583	592
51650	47.90045278	122.2801583	595
51661	47.90045556	122.2801528	596
51671	47.90045556	122.2801528	599
51682	47.90046111	122.2801472	598
51692	47.90045278	122.2801472	592
51703	47.90045833	122.2801444	595
51713	47.90045278	122.2801361	597
51724	47.90046944	122.2801222	607
51735	47.90045556	122.2801361	605
51745	47.90046667	122.2801361	610
51756	47.90045	122.2801528	601
51766	47.90045556	122.2801611	608
51777	47.90043889	122.2801611	598
51787	47.90045278	122.2801583	603
51798	47.90044722	122.2801528	601
51808	47.90045556	122.2801556	606
51819	47.90045	122.2801556	606
51829	47.90045556	122.2801528	609
51840	47.90044722	122.2801528	600
51850	47.90044444	122.2801472	598
51861	47.90043889	122.2801556	597
51871	47.90043889	122.2801528	599
51882	47.90044722	122.2801444	598
51892	47.90044444	122.2801472	594
51903	47.90044722	122.2801444	593
51913	47.90044722	122.2801528	595
51924	47.90045	122.28015	593
51934	47.90043889	122.2801611	593
51945	47.90044167	122.2801583	592
51955	47.90043611	122.2801583	592
51966	47.90044444	122.2801528	590
51976	47.90043611	122.2801528	593
51987	47.90044722	122.2801472	599
51997	47.90043611	122.2801583	598
52008	47.90044722	122.2801611	598
52018	47.90043889	122.2801639	596
52029	47.90045278	122.2801583	603
52039	47.90044722	122.2801556	602
52050	47.90046111	122.2801528	606
52061	47.90045556	122.2801528	607
52071	47.90046389	122.2801472	605
52082	47.90046667	122.2801444	608
52092	47.90047222	122.2801472	607
52103	47.90045556	122.2801472	600
52113	47.90045556	122.28015	600
52124	47.90045556	122.28015	598
52134	47.90046667	122.2801528	601
52145	47.90045556	122.2801556	599
52155	47.90046111	122.2801472	600
52166	47.90045278	122.2801472	600
52176	47.90045278	122.2801472	602
52187	47.90044444	122.2801472	593
52197	47.90045278	122.2801528	597
52208	47.90044722	122.2801528	597
52218	47.90045556	122.2801472	598
52229	47.90045278	122.2801472	599
52239	47.90045833	122.2801444	601
52250	47.90045278	122.2801528	603
52260	47.90046111	122.2801583	605
52271	47.90045278	122.2801583	600
52281	47.90045278	122.2801611	592
52292	47.90044167	122.2801611	592
52302	47.90044722	122.28015	595
52313	47.90044444	122.2801528	596
52323	47.90044722	122.2801472	598
52334	47.90044444	122.2801528	595
52344	47.90044722	122.2801528	594
52355	47.90044722	122.2801694	595
52365	47.90044167	122.2801694	593
52376	47.90045	122.2801694	595
52386	47.90044167	122.2801611	591
52397	47.90045278	122.2801528	598
52407	47.90044444	122.28015	596
52418	47.90045278	122.2801444	605
52429	47.90044444	122.2801444	603
52439	47.90044444	122.28015	601
52450	47.90043889	122.2801556	600
52460	47.90044167	122.2801528	604
52471	47.90043889	122.28015	602
52481	47.90045	122.2801389	598
52492	47.90044444	122.2801361	593
52502	47.90044722	122.2801389	594
52513	47.90044722	122.2801444	595
52523	47.90045278	122.28015	594
52534	47.90045	122.2801528	594
52544	47.90045	122.2801472	593
52555	47.90044722	122.28015	593
52565	47.90044444	122.2801472	593
52576	47.90045	122.2801472	592
52586	47.90044444	122.2801444	587
