   

		  Tape Summary
NCAR C-130 - Project #1-161    
  	         EPIC2001
		 Raymond et al  
				 
	
		 			
  Date    Flight    Start     Stop      Tape Num    Comments
==================================================================

09/03/01	 RF01 	135851	223759	 R1590	  ITCZ Mission
09/05/01	 RF02	135339	223008	 R1591	  ITCZ Mission
09/07/01	 RF03	133523	225306	 R1592	  95 Transect
09/09/01	 RF04	141242	220652	 R1593	  ITCZ Mission   
09/13/01	 RF05 	140200	220521	 R1595	  ITCZ Mission
09/14/01	 RF06 	131537	220421	 R1596	  95 Transect
09/16/01	 RF07	142032	213919	 R1597	  ITCZ Mission
09/19/01	 RF08	131931	222331	 R1598	  95 Transect   
09/20/01	 RF09 	143807	225322	 R1599	  ITCZ Mission
09/23/01	 RF10	132039	223306	 R1600	  95 Transect
09/25/01	 RF11     130905	222319	 R1601	  95 Transect
09/28/01	 RF12	140219	220809	 R1602	  ITCZ Mission
09/29/01	 RF13	140642	223403	 R1603	  ITCZ Mission
10/02/01	 RF14	142143	231925	 R1604	  95 Transect
10/03/01	 RF15  	140115	232242	 R1605/6     ITCZ/SST
10/05/01	 RF16 	143418	234358	 R1607  	   SST Mission   
10/06/01	 RF17	150450	232308	 R1608	  ITCZ Mission
10/09/01	 RF18 	135709	232800	 R1609	  95 Transect
10/10/01	 RF19 	142156	231422	 R1610	  95 Transect 


All times in Coordinated Universal reference (C.U.T.) 


  


