						IRU performance report													10/19/2005								
						Project: RAINEX																					
																									GPS	GPS	TRUE
	Lat deg t/o	Lat min t/o	Lat t/o	Lon deg t/o	Lon min t/o	Lon t/o	Lat deg L	Lat min L	Lat L	Lon deg L	Lon min L	Lon L	Date t/o	Time t/o	Date L	Time L	Err Lat	Err Lon	Time NAV	GPS Lat t/o	GPS lon t/o	GPS lat L	GPS lon L	IRU error	Lat offset	Lon offset	IRU Error
RF01	38	19.6	38.33	76.00	33.80	76.56	27.00	49.60	27.83	82.00	32.60	82.54	8/27/2005	13:16:50	8/27/2005	21:39:50	-10.50	5.98	08:23:00	38.2831	76.4138	27.8518	82.5187	33.66	-10.4313	6.1049	0.37
RF02	27	54.5	27.91	82.00	41.10	82.69	27.00	49.70	27.83	82.00	38.80	82.65	8/28/2005	18:45:10	8/28/2005	23:46:45	-0.08	-0.04	05:01:35					0.41			0.41
RF03	27	50.9	27.85	82.00	29.60	82.49	27.00	53.30	27.89	82.00	28.10	82.47	9/6/2005	18:34:20	9/6/2005	22:42:45	0.04	-0.03	04:08:25					0.26			0.26
RF04	27	50.9	27.85	82.00	29.60	82.49	27.00	50.40	27.84	82.00	29.80	82.50	9/9/2005	12:49:00	9/9/2005	19:53:10	-0.01	0.00	07:04:10					0.03			0.03
RF05	27	50.9	27.85	82.00	29.60	82.49	27.00	50.20	27.84	82.00	29.30	82.49	9/11/2005	17:04:35	9/12/2005	0:44:00	-0.01	-0.01	07:39:25					0.04			0.04
RF06	17	43.2	17.72	64.00	46.70	64.78	27.00	54.80	27.91	82.00	28.60	82.48	9/19/2005	16:15:15	9/19/2005	22:30:00	10.19	17.70	06:14:45	17.7	64.8138	27.84	82.5288	71.73	10.14	17.715	0.21
RF07	27	50.9	27.85	82.00	29.60	82.49	27.00	53.20	27.89	82.00	25.60	82.43	9/21/2005	14:59:25	9/21/2005	21:55:50	0.04	-0.07	06:56:25					0.24			0.24
RF08	27	50.9	27.85	82.00	29.60	82.49	27.00	52.10	27.87	82.00	28.10	82.47	9/22/2005	14:31:55	9/22/2005	21:59:57	0.02	-0.03	07:28:02					0.10			0.10
RF09	27	50.9	27.85	82.00	29.60	82.49	27.00	47.60	27.79	82.00	32.00	82.53	9/23/2005	16:03:20	10/23/2005	0:25:38	-0.05	0.04	08:22:18					0.19			0.19
																											
																											
																											
																											
																											



																											Author: Pavel
